tweet_id,name,party,state,text,date
t_1420043013993156610,Michelle Steel,R,CA,"rt @sophiehrw: 🧵@repsteel: excellent highlights @visa @airbnb @intel @proctergamble @cocacola pushing #humanrights #us, elsewhere…","7/27/2021, 8:26:52 AM"
t_1420042999602548739,Garland Barr,R,KY,countries moving central bank digital currencies (cbdc) & @financialcmte looked potential costs & benefit…,"7/27/2021, 8:26:48 AM"
t_1420042821281665027,Sylvia Garcia,D,TX,"testimonies sgt. gonell, ofc. fanone, ofc. hodges, & ofc. dunn powerful heartbreaking. attac…","7/27/2021, 8:26:06 AM"
t_1420042795574648838,Patty Murray,D,WA,public health keeps communities country safe healthy. long—even pandemi…,"7/27/2021, 8:26:00 AM"
t_1420042782945779712,Mike Rogers,R,AL,rt @hascrepublicans: ranking members @repmikerogersal & @jiminhofe released following statement receiving letter nucle…,"7/27/2021, 8:25:57 AM"
t_1420042652607778820,Stacey Plaskett,D,VI,“the thing sacrificed country ego” #january6thselectcommittee,"7/27/2021, 8:25:26 AM"
t_1420042645473218565,Katherine Cammack,R,FL,i’m proud continue supporting cuban people’s calls freedom. will always stand liberty.…,"7/27/2021, 8:25:24 AM"
t_1420042618180878342,Jim Banks,R,IN,"rt @bensiegel: dunn: ""we prepared happened day.""","7/27/2021, 8:25:17 AM"
t_1420042589412208640,John Hoeven,R,ND,saddened hear news former wyoming senator mike enzi passing away. great friend & colleagu…,"7/27/2021, 8:25:11 AM"
t_1420042063177998346,Hakeem Jeffries,D,NY,anyone surprised trump-inspired terrorists repeatedly called black police officers n-word? thank y…,"7/27/2021, 8:23:05 AM"
t_1420041995020558338,Marsha Blackburn,R,TN,china’s lies covid-19 deserve thorough complete investigation.,"7/27/2021, 8:22:49 AM"
t_1420041978415353857,Tammy Baldwin,D,WI,purdue pharma wants give big bonuses top executives. it’s offensive wrong. money made ava…,"7/27/2021, 8:22:45 AM"
t_1420041966461542408,Dan Bishop,R,NC,"critical race theory isn’t promoted federal gov., democrats say, proble…","7/27/2021, 8:22:42 AM"
t_1420041788933373954,Joe Neguse,D,CO,"i’m grateful partnership colorado @youth_corps work establish #civilianclimatecorps, tackl…","7/27/2021, 8:22:00 AM"
t_1420041685678149633,Dean Phillips,D,MN,“there express outrage someone kneels calling social justice. people whe…,"7/27/2021, 8:21:35 AM"
t_1420041576944914434,Mary Scanlon,D,PA,"rt @haleytalbotnbc: hear powerful stories officers jan 6 can’t help think entire uscp force, including t…","7/27/2021, 8:21:09 AM"
t_1420041483277766657,Carlos Gimenez,R,FL,joining legislation give $22 million support investigation #surfside collapse. must pr…,"7/27/2021, 8:20:47 AM"
t_1420041407050420224,Sylvia Garcia,D,TX,"testimonies sgt. aquilino, ofc. fanone, ofc. hodges, & ofc. dunn powerful heartbreaking. att…","7/27/2021, 8:20:29 AM"
t_1420041386368372739,Sheldon Whitehouse,D,RI,i’m heartened see many people expressing support persistence & digging answers fbi abo…,"7/27/2021, 8:20:24 AM"
t_1420041338993713153,Dan Bishop,R,NC,"critical race theory isn’t promoted federal gov., democrats say, proble…","7/27/2021, 8:20:12 AM"
t_1420041264167362568,Donald Beyer,D,VA,"rt @atrupar: fanone: ""i aware enough recognize risk stripped killed firearm. electrocuted…","7/27/2021, 8:19:55 AM"
